Male — maximum screening weight (lbs)
Height (in)	Min wt	17–20	21–27	28–39	40+
58	91	—	—	—	—
59	94	—	—	—	—
60	97	132	136	139	141
61	100	136	140	144	146
62	104	141	144	148	150
63	107	145	149	153	155
64	110	150	154	158	160
65	114	155	159	163	165
66	117	160	163	168	170
67	121	165	169	174	176
68	125	170	174	179	181
69	128	175	179	184	186
70	132	180	185	189	192
71	136	185	189	194	197
72	140	190	195	200	203
73	144	195	200	205	208
74	148	201	206	211	214
75	152	206	212	217	220
76	156	212	217	223	226
77	160	218	223	229	232
78	164	223	229	235	238
79	168	229	235	241	244
80	173	234	240	247	250

Female — maximum screening weight (lbs)
Height (in)	Min wt	17–20	21–27	28–39	40+
58	91	119	121	122	124
59	94	124	125	126	128
60	97	128	129	131	133
61	100	132	134	135	137
62	104	136	138	140	142
63	107	141	143	144	146
64	110	145	147	149	151
65	114	150	152	154	156
66	117	155	156	158	161
67	121	159	161	163	166
68	125	164	166	168	171
69	128	169	171	173	176
70	132	174	176	178	181
71	136	179	181	183	186
72	140	184	186	188	191
73	144	189	191	194	197
74	148	194	197	199	202
75	152	200	202	204	208
76	156	205	207	210	213
77	160	210	213	215	219
78	164	216	218	221	225
79	168	221	224	227	230
80	173	227	230	233	236
